subject activity meanX meanY meanZ stdX stdY stdZ
 1 WALKING            0.277 -0.017 -0.111 -0.284  0.114 -0.260
 1 WALKING_UPSTAIRS   0.255 -0.024 -0.097 -0.355 -0.002 -0.019
 1 WALKING_DOWNSTAIRS 0.289 -0.010 -0.108  0.030 -0.032 -0.230
 1 SITTING            0.261 -0.001 -0.105 -0.977 -0.923 -0.940
 1 STANDING           0.279 -0.016 -0.111 -0.996 -0.973 -0.980
 1 LAYING             0.222 -0.041 -0.113 -0.928 -0.837 -0.826
 2 WALKING            0.276 -0.019 -0.106 -0.424 -0.078 -0.425
 2 WALKING_UPSTAIRS   0.247 -0.021 -0.153 -0.304  0.108 -0.112
 2 WALKING_DOWNSTAIRS 0.278 -0.023 -0.117  0.046  0.263 -0.103
 2 SITTING            0.277 -0.016 -0.109 -0.987 -0.951 -0.960
 2 STANDING           0.278 -0.018 -0.106 -0.987 -0.957 -0.950
 2 LAYING             0.281 -0.018 -0.107 -0.974 -0.980 -0.984
 3 WALKING            0.276 -0.017 -0.113 -0.360 -0.070 -0.387
 3 WALKING_UPSTAIRS   0.261 -0.032 -0.110 -0.313  0.012 -0.370
 3 WALKING_DOWNSTAIRS 0.292 -0.019 -0.116 -0.057 -0.033 -0.362
 3 SITTING            0.257 -0.004 -0.098 -0.971 -0.857 -0.875
 3 STANDING           0.280 -0.014 -0.102 -0.967 -0.893 -0.911
 3 LAYING             0.276 -0.019 -0.101 -0.983 -0.962 -0.964
 4 WALKING            0.279 -0.015 -0.111 -0.441 -0.079 -0.586
 4 WALKING_UPSTAIRS   0.271 -0.032 -0.114 -0.205 -0.067 -0.372
 4 WALKING_DOWNSTAIRS 0.280 -0.010 -0.107  0.011 -0.219 -0.479
 4 SITTING            0.272 -0.007 -0.106 -0.980 -0.890 -0.932
 4 STANDING           0.280 -0.009 -0.096 -0.977 -0.862 -0.897
 4 LAYING             0.264 -0.015 -0.111 -0.954 -0.942 -0.963
 5 WALKING            0.278 -0.017 -0.108 -0.294  0.077 -0.457
 5 WALKING_UPSTAIRS   0.268 -0.033 -0.107 -0.046  0.185 -0.309
 5 WALKING_DOWNSTAIRS 0.294 -0.009 -0.100  0.275  0.091 -0.326
 5 SITTING            0.274 -0.010 -0.109 -0.981 -0.904 -0.926
 5 STANDING           0.283 -0.007 -0.102 -0.969 -0.869 -0.869
 5 LAYING             0.278 -0.018 -0.108 -0.966 -0.969 -0.969
 6 WALKING            0.284 -0.017 -0.110 -0.297  0.164 -0.504
 6 WALKING_UPSTAIRS   0.268 -0.027 -0.122 -0.050  0.189 -0.354
